world	Aug. 19 (Bloomberg) -- Typhoon Megi churned through the Tsushima Straight dividing Japan and South Korea, leaving nine people dead and thousands homeless as it damaged crops, dumped heavy rains and grounded flights.
world	Aug. 17 (Bloomberg) -- The Vatican is willing #39; #39; to help end fighting between militiamen loyal to Shiite Muslim cleric Moqtada al-Sadr and Iraqi and US forces in Iraq #39;s holy city of Najaf, according to a statement on the Holy See #39;s Web ...
world	AFP - President Megawati Sukarnoputri forged a pact with Indonesia's largest political group Golkar to form a bloc that will dominate parliament but is seen as unlikely to ensure her reelection.
tech	People in the UK are spending more time and money going digital, says communications watchdog Ofcom.
world	A British soldier was believed to have been killed and another seriously injured last night after clashes with Shia fighters in the southern Iraqi city of Basra.
world	Chicago Tribune - Pop stars are no strangers to bad behavior. Smashed guitars, ruined hotel rooms--such misdeeds often are chuckled over later, written up in the tabloids, perhaps listed on invoices for damage. Not so in Russia, where the public expects its performers to remember that they walk in Tchaikovsky's footsteps.
world	BEIJING - China said yesterday that its close ally North Korea will not be pulling out of six-party talks, despite Pyongyang hinting that Washington #39;s hardline policy made the negotiations unworkable.
world	Reuters - Thousands of Palestinian\prisoners in Israeli jails began a hunger strike for better\conditions Sunday, but Israel's security minister said he\didn't care if they starved to death.
tech	\\Java developers often load system properties to customize the runtime behavior\of their applications.\\For example a develoepr could define a 'max_connections' system property to\define the maximum number of TCP connections that their application server can\support. While nice, this prevents all other applications from using this\variable name.\\The first reaction to this would be to namespace your variable names. Instead\of using max_connections you would now use\'my.application.Server.MAX_CONNECTIONS' as your property name. This works of\course but now you have to load this property on startup.\\public static int MAX_CONNECTIONS = Integer.parseInt( System.getProperty(\"my.application.Se ...\\
world	SANTA MARIA, Calif. - Fans of Michael Jackson erupted in cheers Monday as the pop star emerged from a double-decker tour bus and went into court for a showdown with the prosecutor who has pursued him for years on child molestation charges...
business	The US trade deficit has exploded 19 to a record \$55.8bn as oil costs drove imports higher, according to a latest figures.
world	Michael Jackson's lawyers fail in their attempt to have evidence seized in a raid on his ranch thrown out.
world	The second hearing in the trial of three Americans accused of torture and running a jail begins in Kabul.
business	President Bush has been saying that the US economy has ''turned the corner. quot; Democratic presidential candidate Senator John F. Kerry, in the wake of this month's poor jobs report, quipped that it was more like a U-turn.
world	AFP - The Sudanese army expressed opposition to the upgrading of an African Union protection mission newly arrived in the wartorn western region of Darfur into a full-blown peacekeeping force.
business	NEW YORK (Reuters) - Short-sellers, Wall Street's dwindling band of ultra-cynics, are seeing green again.
world	ROME (Reuters) - A bomb has been defused overnight near the Sardinian holiday villa of Prime Minister Silvio Berlusconi hours after a visit by Tony Blair, Italian police say.
business	Chinese net stock Sohu.com (Nasdaq: SOHU) dropped by 10 on Friday after the company announced that its multimedia messaging services with China Mobile Communication had been temporarily suspended for a year. The sanctions were ...
world	A fresh trial of Hindus accused of burning to death Muslims during the 2002 Gujarat riots is due to begin in Bombay.
tech	AP - Residents burned tires and trash in the streets Thursday trying to drive off swarms of locusts descending on the region in what a U.N. agency called the worst sub-Saharan invasion in more than a decade.
sports	NEW YORK (Reuters) - Chipper Jones cracked two homers and Julio Franco's two-run double in the seventh inning drove in the winning runs as the streaking Atlanta Braves downed the St. Louis Cardinals 9-7 in the National League Saturday.
world	Indian asks Bangladesh to spare the lives of around 100 elephants which have strayed across the border.
world	President Bush #39;s plan to begin pulling most of the US troops out of Europe nearly fifteen years after the fall of the Berlin Wall has many Germans worried.
tech	\\I'm starting to realize that my blog is a bit of a time machine. For example I\can create a blog entry to warn myself about something that WILL happen in the\future. \\My current NTP blog entry is a good example. I wrote this for myself as\much as for the people who read my blog (or find me via Google).\\I know for sure that NTP on Debian is going to bite me sometime in the future\and I'm going to forget WHY. Then I'm going to (of course) go to Google or my\aggregator and search for NTP and then find my blog post. \\I've done this about a dozen times now and its saved me a TON of time!\\
business	Correction: Because of a reporting error, an article in yesterday's Nation pages incorrectly described a Bush campaign ad's accusation about John Kerry's role on the Senate Intelligence Committee in the 1990s. The ad accuses Kerry of having missed three-quarters of the committee's public hearings.
business	NEW YORK (Reuters) - The dollar posted gains against the euro on Tuesday, digesting a slew of U.S. economic data that failed to substantially alter expectations for Federal Reserve interest rate hikes.
